iso3,quarter,actual,stgnn_pred,split
BRA,2023Q3,4.707605361938477,3.916435956954956,test
CAN,2023Q3,3.2111246585845947,3.008253574371338,test
CHE,2023Q3,1.6172559261322021,0.9263429641723633,test
CHN,2023Q3,-0.3225919306278229,-0.7469944357872009,test
DEU,2023Q3,3.5546321868896484,4.922538757324219,test
FRA,2023Q3,3.718742609024048,4.002533912658691,test
GBR,2023Q3,4.35363245010376,5.671577453613281,test
IDN,2023Q3,2.6798810958862305,2.1958651542663574,test
IND,2023Q3,4.782294750213623,5.709231376647949,test
ITA,2023Q3,0.9836987257003784,4.891091823577881,test
KOR,2023Q3,3.5333800315856934,2.4550132751464844,test
MEX,2023Q3,4.414577007293701,3.948639392852783,test
NLD,2023Q3,0.9681093096733093,1.8931630849838257,test
SAU,2023Q3,1.5359044075012207,1.3054375648498535,test
SGP,2023Q3,4.833723545074463,5.452836036682129,test
TUR,2023Q3,62.72421646118164,55.51969528198242,test
USA,2023Q3,3.2334961891174316,2.8834800720214844,test
VNM,2023Q3,3.2528927326202393,2.4788100719451904,test
ZAF,2023Q3,5.650152683258057,4.327651500701904,test
AUS,2023Q4,3.6198601722717285,3.644207239151001,test
BRA,2023Q4,4.308138847351074,4.296823978424072,test
CAN,2023Q4,2.8466718196868896,2.8002710342407227,test
CHE,2023Q4,1.1636751890182495,1.203740119934082,test
CHN,2023Q4,-0.03220094367861748,-0.7645139694213867,test
DEU,2023Q4,2.517341375350952,3.126345634460449,test
FRA,2023Q4,2.794020175933838,3.2996840476989746,test
GBR,2023Q4,3.9194915294647217,3.9356729984283447,test
IDN,2023Q4,2.570634603500366,2.2709622383117676,test
IND,2023Q4,4.563706398010254,4.360703945159912,test
ITA,2023Q4,0.9238522052764893,0.5655917525291443,test
MEX,2023Q4,4.567862033843994,4.0050578117370605,test
SGP,2023Q4,4.833723545074463,4.42198371887207,test
TUR,2023Q4,66.83995056152344,62.31267547607422,test
USA,2023Q4,3.244361162185669,2.795436143875122,test
VNM,2023Q4,3.2528927326202393,2.8406100273132324,test
ZAF,2023Q4,5.408301830291748,5.2498979568481445,test
AUS,2024Q1,3.8144478797912598,3.483110189437866,test
BRA,2024Q1,3.947357416152954,4.160798072814941,test
